original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,suburb,district,postcode,city,county_code,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Anand_VUNagar_DC (Gujarat),Anand,VUNagar,DC,Gujarat,22.5586555,72.9627227,"Anand, GJ, India",,,,,,388001,Anand,,Anand City Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Khambhat_MotvdDPP_D (Gujarat),Khambhat,MotvdDPP,D,Gujarat,22.3166806,72.6243126,"Khambhat, GJ, India",,,,,,388600,Khambhat,,Khambhat Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhiwandi_Mankoli_HB (Maharashtra),Bhiwandi,Mankoli,HB,Maharashtra,19.2394109,73.0429351,"Mankoli, MH, India",,,,,,421202,Mankoli,,Bhiwandi Taluka,Maharashtra,MH,India,in,,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LowerParel_CP (Maharashtra),LowerParel,,CP,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Bangalore_Nelmngla_H (Karnataka),Bangalore,Nelmngla,H,Karnataka,12.9767936,77.590082,"Bengaluru, KA, India",,,,,,560001,Bengaluru,,Bangalore North,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bengaluru_Bomsndra_HB (Karnataka),Bengaluru,Bomsndra,HB,Karnataka,12.9767936,77.590082,"Bengaluru, KA, India",,,,,,560001,Bengaluru,,Bangalore North,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ludhiana_GillChwk_DC (Punjab),Ludhiana,GillChwk,DC,Punjab,30.9090157,75.851601,"Ludhiana, PB, India",,,,,,141001,Ludhiana,,Ludhiana (West) Tahsil,Punjab,PB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagraon_DC (Punjab),Jagraon,,DC,Punjab,30.8041704,75.4753645,"Jagraon, PB, India",,,,,,142026,Jagraon,,Jagraon Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Raikot_DC (Punjab),Raikot,,DC,Punjab,30.6496526,75.5993128,"Raikot, PB, India",,,,,,141109,Raikot,,Raikot Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Junagadh_DPC (Gujarat),Junagadh,,DPC,Gujarat,21.5220416,70.4582458,"Junagadh, GJ, India",,,,,,362015,Junagadh,,Junagadh City Taluka,Gujarat,GJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Veraval_DC (Gujarat),Veraval,,DC,Gujarat,20.9101099,70.365279,"Veraval, GJ, India",,,,,,362200,Veraval,,Patan Veraval Taluka,Gujarat,GJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kodinar_NCplxDPP_D (Gujarat),Kodinar,NCplxDPP,D,Gujarat,20.795759,70.7045453,"Kodinar, GJ, India",,,,,,,Kodinar,,Kodinar Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Una_Mamlatdr_DC (Gujarat),Una,Mamlatdr,DC,Gujarat,20.8198898,71.0391641,"Una, GJ, India",,,,,,362560,Una,,Una Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Talala_SsnRdDPP_D (Gujarat),Talala,SsnRdDPP,D,Gujarat,21.0560298,70.5303798,"talala, GJ, India",,,,,,,talala,,Talala Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sonipat_Kundli_H (Haryana),Sonipat,Kundli,H,Haryana,28.8696747,77.1198167,"Kundli, HR, India",,,,,,131028,Kundli,,Sonipat,Haryana,HR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Roorkee_IOTCEncl_L (Uttarakhand),Roorkee,IOTCEncl,L,Uttarakhand,29.8693496,77.8902124,"Roorkee, UT, India",,,,,,247667,Roorkee,,Roorkee,Uttarakhand,UT,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haridwar (Uttarakhand),Haridwar,,,Uttarakhand,29.9384473,78.1452985,"Haridwar, UT, India",,,,,,249401,Haridwar,,Hardwar,Uttarakhand,UT,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
MAA_Poonamallee_HB (Tamil Nadu),MAA,Poonamallee,HB,Tamil Nadu,13.046495,80.109993,"Poonamallee, KC, India",,,,,,,Poonamallee,KC,Kancheepuram,Tamil Nadu,TN,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
