original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,district,housenumber,name,suburb,street,county_code,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Silvassa_Samrvrni_D (Dadra and Nagar Haveli),Silvassa,Samrvrni,D,Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,
Bengaluru_Sarjapur_D (Karnataka),Bengaluru,Sarjapur,D,Karnataka,12.9240089,77.6531102,"Sarjapur Road, Bengaluru - 560102, KA, India",,,Sarjapur Road,,Sarjapur Road,,560102,Bengaluru,Bangalore North,Karnataka,KA,India,in,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sawantwadi_LaxmiNgr_D (Maharashtra),Sawantwadi,LaxmiNgr,D,Maharashtra,15.88866,73.91638,"Sawantwadi, SI, India",,,,,,SI,,Sawantwadi,Sindhudurg,Maharashtra,MH,India,in,0.5,1,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Modinagar_SikriKla_DC (Uttar Pradesh),Modinagar,SikriKla,DC,Uttar Pradesh,28.8320713,77.5770873,"Modinagar, UP, India",,,,,,,201204,Modinagar,Modinagar,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Khatauli_TilakNgr_D (Uttar Pradesh),Khatauli,TilakNgr,D,Uttar Pradesh,29.2780199,77.7324559,"Khatauli, UP, India",,,,,,,251201,Khatauli,Khatauli,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dhar_Trimurti_D (Madhya Pradesh),Dhar,Trimurti,D,Madhya Pradesh,22.596029,75.306449,"Dhar, DH, India",,,,,,DH,,Dhar,Dhar,Madhya Pradesh,MP,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ratlam_Khjurwli_DC (Madhya Pradesh),Ratlam,Khjurwli,DC,Madhya Pradesh,23.3311044,75.0360846,"Ratlam, MP, India",,,,,,,457001,Ratlam,Ratlam Nagar Tahsil,Madhya Pradesh,MP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaora_RtlamNka_D (Madhya Pradesh),Jaora,RtlamNka,D,Madhya Pradesh,23.6379392,75.1281756,"Jaora, MP, India",Jaora,,,,,,,Jaora,Jaora Tahsil,Madhya Pradesh,MP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sonari_Central_DPP_1 (Assam),Sonari,Central,DPP1,Assam,27.0266981,95.0183272,"Sonari, AS, India",,,,,,,785690,Sonari,Sonari,Assam,AS,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mangalore_Kuntikna_H (Karnataka),Mangalore,Kuntikna,H,Karnataka,12.8698101,74.8430082,"Mangaluru, KA, India",,,,,,,575001,Mangaluru,Mangaluru taluk,Karnataka,KA,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
