original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Gangarampr_FulbaDPP_D (West Bengal),Gangarampr,FulbaDPP,D,West Bengal,,,,,,,,,,,,,,,,,,,,,,
Nanjangud_RPRoad_D (Karnataka),Nanjangud,RPRoad,D,Karnataka,12.118478,76.679081,"Nanjangud, MY, India",,,,,,,Nanjangud,Mysore,MY,Karnataka,KA,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Gundlupet_Swamylyt_D (Karnataka),Gundlupet,Swamylyt,D,Karnataka,11.808496,76.6916141,"Gundlupet, KA, India",,,,,,571111,Gundlupet,Gundlupet taluk,,Karnataka,KA,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chamarjngr_BrDbleRd_D (Karnataka),Chamarjngr,BrDbleRd,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,
Kollegala_NarsipuraRd_D (Karnataka),Kollegala,NarsipuraRd,D,Karnataka,14.882195,75.57454,"Karnataka, India",Karnataka,,,,,,,,,Karnataka,KA,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Malavalli_SulthnRd_D (Karnataka),Malavalli,SulthnRd,D,Karnataka,12.384264,77.062057,"Malavalli, MA, India",,,,,,,Malavalli,Mandya,MA,Karnataka,KA,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Tirumakudalu_Narasipr_D (Karnataka),Tirumakudalu,Narasipr,D,Karnataka,12.21227,76.90232,"Tirumakudalu Narasipura, KA, India",,,,,,,Tirumakudalu Narasipura,Mysore,,Karnataka,KA,India,in,0.45,,0.9,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Karimnagar_DC (Telangana),Karimnagar,,DC,Telangana,18.4348122,79.1328042,"Karimnagar, TG, India",,,,,,505001,Karimnagar,Karimnagar mandal,,Telangana,TG,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ghatampur_StatinRD_D (Uttar Pradesh),Ghatampur,StatinRD,D,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Bantwal_Trmltmpl_D (Karnataka),Bantwal,Trmltmpl,D,Karnataka,12.8953789,75.0408618,"Bantwal, KA, India",,,,,,574211,Bantwal,Bantwal taluk,,Karnataka,KA,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
